iter	Passed	Remaining
0	0	39
1	0	45
2	1	46
3	1	45
4	2	45
5	2	45
6	3	44
7	3	41
8	4	41
9	4	41
10	5	41
11	5	40
12	6	40
13	6	40
14	7	39
15	7	39
16	8	39
17	8	38
18	8	37
19	9	37
20	9	36
21	10	36
22	10	34
23	10	33
24	11	33
25	11	32
26	12	32
27	12	32
28	13	32
29	13	31
30	14	31
31	14	30
32	15	30
33	15	29
34	15	29
35	16	28
36	16	28
37	17	27
38	17	27
39	17	26
40	18	26
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	21
54	25	20
55	25	20
56	26	19
57	26	19
58	27	18
59	27	18
60	28	17
61	28	17
62	29	17
63	29	16
64	30	16
65	30	15
66	30	15
67	31	14
68	31	14
69	32	13
70	32	13
71	33	12
72	33	12
73	34	12
74	34	11
75	35	11
76	35	10
77	36	10
78	36	9
79	37	9
80	37	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	45	0
98	46	0
99	47	0
